HomeLine,HOME_OFFPass_DVOA,HOME_OFFRush_DVOA,HOME_DEFPassDVOA,HOME_DEFRushDVOA,HOME_STDVOA,VISIT_OFFPass_DVOA,VISIT_OFFRush_DVOA,VISIT_DEFPassDVOA,VISIT_DEFRushDVOA,VISIT_STDVOA
4.5,-0.07183,-0.03183,0.049833,-0.01925,-0.0435,0.567167,-0.092,0.040833,0.055333,0.0105
-7,0.246333333,0.059833333,-0.196,-0.015,0.0025,0.2412,0.0716,0.2264,-0.2378,-0.008
4,0.254333333,-0.163333333,0.544666667,-0.185166667,-0.040833333,0.070666667,0.078166667,0.166833333,-0.2265,-0.009666667
9.5,-0.155833333,-0.288666667,0.185666667,-0.015,0.0195,0.155416667,0.026666667,-0.772583333,-0.144166667,-0.03625
-2.5,0.1542,0.0108,0.1412,0.0292,-0.0348,0.235833333,0.017666667,0.033,-0.11,-0.004833333
0,0.2978,-0.2522,0.0012,-0.0698,0.063,0.2525,0.031666667,-0.015166667,-0.237166667,0.001666667
3,-0.070166667,-0.394833333,0.354166667,0.019666667,0.028666667,0.2725,-0.167833333,0.056166667,0.103166667,0.0335
-3,-0.093666667,0.035,0.232,-0.162333333,-0.023666667,0.009,0.048333333,0.320333333,0.009166667,-0.021333333
-15.5,-0.0926,0.094,-0.227,-0.0038,-0.0606,-0.4732,-0.411,0.7282,0.075,-0.0208
-1,-0.062333333,-0.200333333,0.041833333,-0.178333333,-0.0395,0.227333333,-0.211666667,0.191333333,-0.047666667,0.009833333
-4,0.635833333,-0.073666667,0.058833333,-0.038666667,-0.039333333,0.108333333,0.211166667,0.1175,-0.128,0.058
-3,0.1474,-0.2436,-0.0612,-0.2544,0.0416,0.186666667,-0.136833333,0.019666667,-0.103,0.066166667
-2.5,0.5206,0.1908,0.2568,-0.0632,-0.019,0.268333333,-0.017166667,0.164,-0.261833333,0.0125
9.5,-0.3432,-0.2592,0.0912,-0.1826,0.019,0.2785,-0.0505,-0.636666667,-0.2505,-0.012
